WKT;rasterval
LINESTRING (16.2307 48.1609,16.2321 48.1611,16.2326 48.1613,16.2342 48.1627,16.237 48.1632,16.2383 48.1632,16.2408 48.1646);Schlossergassl
LINESTRING (16.2307 48.2129,16.2315 48.2125);Gottfried-Sennholzer-Gasse
LINESTRING (16.2307 48.2042,16.2327 48.2029);Westautobahn
LINESTRING (16.2308 48.2466,16.2314 48.2472);Sofienalpenstraße
LINESTRING (16.236 48.2076,16.2308 48.2091);Friedhofstraße
LINESTRING (16.2308 48.2118,16.2328 48.2137,16.233 48.2145);Andreas-Lechner-Straße
LINESTRING (16.2327 48.2031,16.2308 48.2042);Westautobahn
LINESTRING (16.2309 48.209,16.2335 48.2112);Josef-Ressel-Straße
LINESTRING (16.2411 48.1384,16.2398 48.141,16.2364 48.1434,16.231 48.1479);Gütenbachstraße
LINESTRING (16.2315 48.2078,16.2311 48.2078);August-Ritt-Brücke
LINESTRING (16.2311 48.2154,16.2312 48.2154);Cottagebrücke
LINESTRING (16.2312 48.2154,16.2331 48.2159);Cottagestraße
LINESTRING (16.2312 48.2108,16.2337 48.21);Joseph-Haydn-Straße
LINESTRING (16.2312 48.2108,16.233 48.2123);Josef-Schlesinger-Straße
LINESTRING (16.2314 48.2472,16.2318 48.2476);Sofienalpenstraße
LINESTRING (16.2351 48.205,16.2335 48.2058,16.2322 48.2075,16.2315 48.2078);Hauptstraße
LINESTRING (16.2315 48.2131,16.2342 48.2118);Riedstraße
LINESTRING (16.2323 48.2145,16.2315 48.2131);Kolbetergasse
LINESTRING (16.2316 48.2141,16.2321 48.2139);Torberggasse
LINESTRING (16.2447 48.1722,16.2436 48.1728,16.2434 48.1733,16.2429 48.1737,16.2416 48.1744,16.24 48.1747,16.2388 48.1756,16.2387 48.176,16.2388 48.1762,16.2419 48.1772,16.2418 48.178,16.2415 48.1782,16.241 48.1783,16.2379 48.178,16.2317 48.1785);Rohrhausstraße
LINESTRING (16.2318 48.2476,16.2319 48.248);Sofienalpenstraße
LINESTRING (16.2319 48.248,16.2322 48.2483,16.2343 48.2499,16.2364 48.2499);Sofienalpenstraße
LINESTRING (16.2321 48.2066,16.2333 48.2056,16.2363 48.204,16.238 48.2031,16.2397 48.2025,16.243 48.2019,16.2493 48.2015,16.2514 48.201,16.262 48.1958,16.2619 48.1957,16.2607 48.1962,16.2606 48.1961);Wienflussradweg
LINESTRING (16.2337 48.2153,16.2322 48.2168);Wienerwaldgasse
LINESTRING (16.2324 48.2027,16.2326 48.2026);Hofjagdstraße
LINESTRING (16.2326 48.2026,16.2333 48.2022);Hofjagdstraße
LINESTRING (16.2405 48.201,16.2348 48.202,16.2335 48.2026,16.2327 48.2031);Wientalstraße
LINESTRING (16.2327 48.2029,16.2345 48.202);Wientalstraße
LINESTRING (16.2329 48.2095,16.2357 48.2111);Oskar-Simony-Straße
